task,fold,feature,pr_auc_drop_mean,pr_auc_drop_sd
loss,1,elevation_m,0.0510210405136138,0.0056027974305791
loss,1,slope_deg,0.0085724211570383,0.004160697315061
loss,1,water_occurrence_pct,0.0190680417422801,0.0089995531406866
loss,1,water_seasonality_months,0.406690541649416,0.0029192806271789
loss,1,rain_mean_annual_mm,-0.0114973884714804,0.0152291985894294
loss,1,rain_interannual_cv_pct,0.1395818347172754,0.0209987242442194
loss,1,rain_trend_mm_per_year,0.0217701029465494,0.0113104857451303
loss,1,built_fraction_2000,0.00409002162137,0.0009301978811442
loss,2,elevation_m,0.0290540658930945,0.0052024370693728
loss,2,slope_deg,-0.0020485014048038,0.0060828687997703
loss,2,water_occurrence_pct,0.0575715693657061,0.0044897783466482
loss,2,water_seasonality_months,0.3579021844852892,0.0061983026587451
loss,2,rain_mean_annual_mm,0.0593533449576687,0.006037175315878
loss,2,rain_interannual_cv_pct,0.1351186254275173,0.0088802567415218
loss,2,rain_trend_mm_per_year,0.0766269920352291,0.016551598082484
loss,2,built_fraction_2000,-0.0018721529505494,0.0045392961200226
loss,3,elevation_m,0.0466790127896959,0.0127068356910732
loss,3,slope_deg,-0.015207681748418,0.0111950838787995
loss,3,water_occurrence_pct,-0.0784362006985298,0.0040540583306012
loss,3,water_seasonality_months,0.3585759052709866,0.0008090985725023
loss,3,rain_mean_annual_mm,0.0201456950325067,0.011545493445983
loss,3,rain_interannual_cv_pct,0.0386315917948273,0.0088396699979229
loss,3,rain_trend_mm_per_year,0.0697770496122749,0.0128153819611653
loss,3,built_fraction_2000,0.0038390856130472,0.003181563026619
loss,4,elevation_m,0.0136242382997108,0.0058215335430684
loss,4,slope_deg,-0.0005796692243469,0.0023996303284636
loss,4,water_occurrence_pct,0.0870608820496341,0.0010482325559528
loss,4,water_seasonality_months,0.4859672546168929,0.0008841397476473
loss,4,rain_mean_annual_mm,0.0690138365547803,0.0105085313078433
loss,4,rain_interannual_cv_pct,0.053915229741169,0.0049753934188368
loss,4,rain_trend_mm_per_year,0.0069188456706424,0.0173119113171261
loss,4,built_fraction_2000,-0.0018688039608493,0.0011797143965572
loss,5,elevation_m,0.0140610101270973,0.0057655135452725
loss,5,slope_deg,-0.0151621216937579,0.0093340278954186
loss,5,water_occurrence_pct,0.116069727541548,0.0051472169616948
loss,5,water_seasonality_months,0.3473167141971203,0.0014119171417941
loss,5,rain_mean_annual_mm,0.0373455307388811,0.0230644806305091
loss,5,rain_interannual_cv_pct,0.1448405556022492,0.0062865763750508
loss,5,rain_trend_mm_per_year,0.1255678477926194,0.0251598016385673
loss,5,built_fraction_2000,0.0072218299582957,0.0042183464502478
gain,1,elevation_m,0.5920632913502144,0.0184851561639123
gain,1,slope_deg,0.0350511674670777,0.006004069377531
gain,1,water_occurrence_pct,0.1521104407763506,0.001731103307857
gain,1,water_seasonality_months,0.0746902986229542,0.0071623771361072
gain,1,rain_mean_annual_mm,0.0226013843202858,0.0035790153919463
gain,1,rain_interannual_cv_pct,0.010301554673517,0.0022743601437581
gain,1,rain_trend_mm_per_year,0.0406175835211873,0.0020556069376443
gain,1,built_fraction_2000,0.0416880680188047,0.0053288216275521
gain,2,elevation_m,0.5683971822662091,0.0204302613123009
gain,2,slope_deg,0.0307558859975748,0.0052316661833509
gain,2,water_occurrence_pct,0.2103790811897573,0.0155810833575564
gain,2,water_seasonality_months,0.2408764255945614,0.0068744789245037
gain,2,rain_mean_annual_mm,0.0296894530922967,0.0031820878814069
gain,2,rain_interannual_cv_pct,-0.0039549861381802,0.0062111450532928
gain,2,rain_trend_mm_per_year,0.0116216242745431,0.0037480302150077
gain,2,built_fraction_2000,0.0359162416836589,0.0059974998801153
gain,3,elevation_m,0.4736409790733249,0.0255601480036649
gain,3,slope_deg,0.0408999509832239,0.0105720430428371
gain,3,water_occurrence_pct,0.2605603816509,0.0091243131146889
gain,3,water_seasonality_months,0.220099081974621,0.0042471736261972
gain,3,rain_mean_annual_mm,0.0170774872020526,0.0036643426626832
gain,3,rain_interannual_cv_pct,-0.0505288317117678,0.0059039150796942
gain,3,rain_trend_mm_per_year,-0.0498688404638205,0.0026367724774172
gain,3,built_fraction_2000,0.069578610051468,0.0070680397799937
gain,4,elevation_m,0.6114746272321492,0.0120596179114361
gain,4,slope_deg,0.0214732304017283,0.0012112914839521
gain,4,water_occurrence_pct,0.139484431094029,0.003367698955805
gain,4,water_seasonality_months,0.0669344368194703,0.0084498136526301
gain,4,rain_mean_annual_mm,0.019465085590077,0.0086325153447605
gain,4,rain_interannual_cv_pct,0.0014061648115605,0.0053928933322717
gain,4,rain_trend_mm_per_year,0.0041603901248224,0.004511026262395
gain,4,built_fraction_2000,0.0694223817063665,0.002687072424604
gain,5,elevation_m,0.6131412642497317,0.0087112392957372
gain,5,slope_deg,0.0134559594010117,0.0037338358602914
gain,5,water_occurrence_pct,0.1709254678122533,0.0160848920593099
gain,5,water_seasonality_months,0.0762627333758527,0.0022392288235574
gain,5,rain_mean_annual_mm,0.0065037165898768,0.0028971441690217
gain,5,rain_interannual_cv_pct,-0.010237278075614,0.0021397868170915
gain,5,rain_trend_mm_per_year,-0.0008913891322493,0.0007355584788653
gain,5,built_fraction_2000,0.0627570746172184,0.0066751210234527
